Unnamed: 0,Nose-X,Nose-Y,Nose-Confidence,Neck-X,Neck-Y,Neck-Confidence,R-shoulder-X,R-shoulder-Y,R-shoulder-Confidence,R-elbow-X,R-elbow-Y,R-elbow-Confidence,R-wrist-X,R-wrist-Y,R-wrist-Confidence,L-shoulder-X,L-shoulder-Y,L-shoulder-Confidence,L-elbow-X,L-elbow-Y,L-elbow-Confidence,L-wrist-X,L-wrist-Y,L-wrist-Confidence,R-hip-X,R-hip-Y,R-hip-Confidence,R-knee-X,R-knee-Y,R-knee-Confidence,R-ankle-X,R-ankle-Y,R-ankle-Confidence,L-hip-X,L-hip-Y,L-hip-Confidence,L-knee-X,L-knee-Y,L-knee-Confidence,L-ankle-X,L-ankle-Y,L-ankle-Confidence,R-eye-X,R-eye-Y,R-eye-Confidence,L-eye-X,L-eye-Y,L-eye-Confidence,R-ear-X,R-ear-Y,R-ear-Confidence,L-ear-X,L-ear-Y,L-ear-Confidence,R-wrist-X-Filtered,R-wrist-Y-Filtered,R-elbow-X-Filtered,R-elbow-Y-Filtered,R-shoulder-X-Filtered,R-shoulder-Y-Filtered,L-shoulder-X-Filtered,L-shoulder-Y-Filtered
372,523,488,0.5457264184951782,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,454,421,0.5878833532333374,589,421,0.647668719291687,320,489,0.3591731190681457,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,1199.2307692307654,80.86713286713263,1279.999999999996,0.0
373,523,488,0.5457264184951782,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,454,421,0.5878833532333374,589,421,0.647668719291687,320,489,0.3591731190681457,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,1078.0769230769197,202.16783216783153,1279.999999999996,0.0
374,523,488,0.5457264184951782,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,454,421,0.5878833532333374,589,421,0.647668719291687,320,489,0.3591731190681457,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,939.6153846153817,340.79720279720175,1279.999999999996,0.0
375,522,489,0.6781392693519592,0,0,0.0,0,0,0.0,0,0,0,0,0,0,825,826,0.2067499905824661,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,421,421,0.6347227692604065,589,422,0.7162802219390869,319,489,0.4088966846466064,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,795.384615384613,485.20279720279575,1279.999999999996,0.0
376,522,489,0.6781392693519592,0,0,0.0,0,0,0.0,0,0,0,0,0,0,825,826,0.2067499905824661,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,421,421,0.6347227692604065,589,422,0.7162802219390869,319,489,0.4088966846466064,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,656.923076923075,623.7552447552428,1279.999999999996,0.0
377,522,489,0.6781392693519592,0,0,0.0,0,0,0.0,0,0,0,0,0,0,825,826,0.2067499905824661,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,421,421,0.6347227692604065,589,422,0.7162802219390869,319,489,0.4088966846466064,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,535.7692307692292,745.0559440559417,1279.999999999996,0.0
378,522,489,0.6781392693519592,0,0,0.0,0,0,0.0,0,0,0,0,0,0,825,826,0.2067499905824661,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,421,421,0.6347227692604065,589,422,0.7162802219390869,319,489,0.4088966846466064,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,443.4615384615372,837.5384615384589,1279.999999999996,0.0
379,522,489,0.6781392693519592,0,0,0.0,0,0,0.0,0,0,0,0,0,0,825,826,0.2067499905824661,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,421,421,0.6347227692604065,589,422,0.7162802219390869,319,489,0.4088966846466064,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,391.5384615384604,889.6363636363608,1279.999999999996,0.0
380,522,489,0.6781392693519592,0,0,0.0,0,0,0.0,0,0,0,0,0,0,825,826,0.2067499905824661,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,421,421,0.6347227692604065,589,422,0.7162802219390869,319,489,0.4088966846466064,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,391.5384615384604,889.7832167832139,1279.999999999996,0.0
381,522,489,0.6781392693519592,0,0,0.0,0,0,0.0,0,0,0,0,0,0,825,826,0.2067499905824661,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,421,421,0.6347227692604065,589,422,0.7162802219390869,319,489,0.4088966846466064,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,454.99999999999864,826.4125874125848,1279.999999999996,0.0
